Unnamed: 0,gold_label,sentence2_has_negation,split
0,2,0,2
1,1,0,0
2,1,0,2
3,1,0,2
4,2,0,0
5,1,0,2
6,2,0,1
7,1,0,1
8,0,0,2
9,0,0,0
10,1,0,0
11,0,0,2
12,2,0,0
13,2,0,3
14,0,0,0
15,1,0,1
16,1,0,0
17,0,0,0
18,0,1,2
19,2,0,2
20,1,0,2
21,1,0,0
22,0,0,0
23,1,0,0
24,1,0,0
25,2,0,3
26,0,0,2
27,2,0,0
28,0,1,2
29,1,0,3
30,1,0,0
31,1,0,1
32,0,1,0
33,2,0,0
34,0,0,0
35,1,0,0
36,1,0,0
37,0,0,2
38,0,0,0
39,0,0,1
40,1,0,3
41,2,0,0
42,1,0,0
43,2,0,3
44,1,0,0
45,1,0,2
46,0,0,2
47,0,0,3
48,2,0,2
49,1,0,2
50,1,0,0
51,1,0,0
52,0,0,2
53,2,0,2
54,2,0,0
55,2,0,2
56,0,0,3
57,2,0,0
58,0,0,2
59,2,0,2
60,2,0,0
61,1,0,3
62,0,0,0
63,1,0,0
64,2,0,2
65,0,1,2
66,0,0,2
67,0,1,2
68,0,0,0
69,0,0,3
70,2,0,2
71,2,0,0
72,0,0,2
73,0,0,0
74,0,0,0
75,1,0,2
76,0,0,3
77,2,0,3
78,1,0,2
79,2,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,1,0,2
84,2,0,1
85,1,0,3
86,2,0,2
87,1,0,1
88,0,0,0
89,2,0,0
90,2,0,0
91,0,0,0
92,0,0,0
93,1,0,2
94,1,0,0
95,0,1,0
96,2,0,0
97,1,0,0
98,0,0,2
99,1,0,0
100,0,0,0
101,1,0,2
102,0,0,0
103,2,0,0
104,0,0,0
105,2,1,0
106,1,0,2
107,1,0,2
108,0,0,0
109,1,0,0
110,0,0,0
111,1,0,0
112,1,0,0
113,1,0,0
114,1,0,1
115,1,0,2
116,0,0,2
117,0,0,1
118,0,0,2
119,1,0,0
120,0,0,0
121,2,0,0
122,0,0,1
123,1,0,2
124,1,0,0
125,1,0,0
126,1,0,2
127,0,0,0
128,1,0,0
129,1,0,0
130,1,0,2
131,1,0,0
132,2,0,0
133,0,1,0
134,0,1,2
135,1,0,2
136,0,0,0
137,2,0,1
138,0,0,0
139,1,0,0
140,1,0,0
141,1,0,0
142,0,0,3
143,2,0,2
144,0,0,0
145,0,0,0
146,2,0,0
147,0,0,0
148,2,0,2
149,0,0,0
150,1,0,0
151,0,0,2
152,2,0,0
153,2,0,0
154,1,0,2
155,2,0,0
156,0,0,0
157,1,0,2
158,2,0,3
159,2,0,2
160,2,0,3
161,1,0,3
162,0,0,0
163,1,0,3
164,1,0,0
165,2,0,0
166,1,0,0
167,2,0,2
168,1,0,2
169,1,0,2
170,2,0,0
171,1,0,0
172,0,0,0
173,1,0,3
174,2,0,0
175,0,1,2
176,1,0,0
177,1,0,2
178,2,0,1
179,0,0,2
180,0,1,0
181,2,0,0
182,1,0,0
183,2,0,1
184,1,0,0
185,0,0,0
186,0,1,2
187,1,0,2
188,0,1,0
189,0,0,3
190,0,1,2
191,1,0,0
192,0,0,0
193,0,0,2
194,0,1,0
195,0,0,1
196,2,0,2
197,0,0,0
198,0,0,1
199,1,0,0
200,0,0,2
201,1,0,2
202,0,1,3
203,1,0,1
204,1,0,0
205,1,0,2
206,2,0,0
207,2,0,1
208,1,0,3
209,2,0,2
210,1,0,0
211,1,0,0
212,0,0,0
213,0,1,0
214,0,0,0
215,2,0,0
216,0,0,0
217,2,0,0
218,1,0,0
219,1,0,0
220,2,0,2
221,0,0,0
222,2,0,0
223,2,0,3
224,2,0,0
225,0,0,2
226,0,0,0
227,0,0,0
228,1,0,0
229,0,0,3
230,0,0,0
231,2,0,0
232,2,0,3
233,1,0,0
234,2,0,0
235,1,0,0
236,2,0,1
237,0,0,2
238,1,0,0
239,1,0,1
240,1,0,2
241,1,0,3
242,1,0,0
243,1,0,0
244,1,0,0
245,0,0,2
246,1,0,2
247,0,0,2
248,1,0,2
249,0,0,1
250,1,0,2
251,2,0,0
252,1,0,0
253,2,0,0
254,2,0,1
255,0,0,0
256,2,0,0
257,2,0,2
258,2,0,2
259,2,0,0
260,1,0,0
261,2,0,3
262,1,0,0
263,1,0,2
264,2,0,2
265,1,0,0
266,2,0,0
267,0,0,2
268,0,0,0
269,0,0,0
270,2,0,2
271,1,0,0
272,1,0,0
273,0,0,3
274,0,0,0
275,0,0,0
276,2,0,0
277,0,0,2
278,0,1,0
279,2,0,0
280,2,0,3
281,1,0,0
282,2,0,0
283,0,0,0
284,1,0,0
285,0,1,0
286,1,0,3
287,1,0,1
288,1,0,0
289,0,1,1
290,1,0,2
291,1,0,0
292,2,0,0
293,2,0,0
294,0,0,2
295,2,0,0
296,0,1,3
297,2,0,0
298,2,0,0
299,2,1,0
300,0,0,3
301,1,0,0
302,0,0,1
303,0,1,3
304,2,0,1
305,1,0,0
306,2,0,0
307,0,0,2
308,0,1,2
309,1,0,0
310,1,0,0
311,1,0,0
312,0,0,2
313,1,0,3
314,2,0,0
315,2,0,0
316,0,0,0
317,1,0,0
318,0,0,0
319,0,0,0
320,2,0,0
321,2,0,0
322,0,0,0
323,0,0,2
324,2,0,2
325,0,0,2
326,0,0,0
327,2,0,0
328,0,0,0
329,2,0,2
330,0,0,2
331,0,0,0
332,2,0,1
333,2,0,2
334,2,0,1
335,0,0,0
336,0,0,1
337,1,0,0
338,1,0,0
339,0,0,1
340,2,0,0
341,0,0,0
342,2,0,0
343,2,0,0
344,0,1,0
345,2,0,1
346,1,0,1
347,1,0,2
